modelo,k,precision,recall,lift
SNA — Regresión Logística,50,0.7,0.013910969793322734,6.926550079491255
SNA — Regresión Logística,100,0.58,0.023052464228934817,5.739141494435612
SNA — Regresión Logística,200,0.455,0.03616852146263911,4.502257551669317
SNA — Regresión Logística,500,0.306,0.060810810810810814,3.027891891891892
SNA — Regresión Logística,1000,0.235,0.09340222575516693,2.3253418124006355
ML — Random Forest,50,0.9,0.017885532591414944,8.905564387917329
ML — Random Forest,100,0.82,0.03259141494435612,8.1139586645469
ML — Random Forest,200,0.745,0.05922098569157393,7.371828298887122
ML — Random Forest,500,0.638,0.12678855325914148,6.313055643879173
ML — Random Forest,1000,0.585,0.23251192368839427,5.788616852146263
ML — Gradient Boosting,50,0.88,0.017488076311605722,8.70766295707472
ML — Gradient Boosting,100,0.79,0.031399046104928455,7.817106518282989
ML — Gradient Boosting,200,0.78,0.06200317965023847,7.718155802861685
ML — Gradient Boosting,500,0.68,0.13513513513513514,6.728648648648648
ML — Gradient Boosting,1000,0.566,0.22496025437201908,5.600610492845786
SGC — propagación + MLP,50,0.96,0.019077901430842606,9.49926868044515
SGC — propagación + MLP,100,0.91,0.03616852146263911,9.004515103338633
SGC — propagación + MLP,200,0.875,0.06955484896661367,8.65818759936407
SGC — propagación + MLP,500,0.806,0.16017488076311606,7.975427662957075
SGC — propagación + MLP,1000,0.698,0.2774244833068362,6.906759936406995
Clásico — Banderas rojas,50,0.04,0.000794912559618442,0.3958028616852146
Clásico — Banderas rojas,100,0.02,0.000794912559618442,0.1979014308426073
Clásico — Banderas rojas,200,0.025,0.001987281399046105,0.24737678855325915
Clásico — Banderas rojas,500,0.026,0.0051669316375198724,0.2572718600953895
Clásico — Banderas rojas,1000,0.031,0.01232114467408585,0.3067472178060413
Clásico — PageRank puro,50,0.54,0.010731319554848967,5.343338632750397
Clásico — PageRank puro,100,0.46,0.018282988871224166,4.551732909379968
Clásico — PageRank puro,200,0.385,0.030604133545310015,3.8096025437201906
Clásico — PageRank puro,500,0.308,0.06120826709062003,3.047682034976152
Clásico — PageRank puro,1000,0.241,0.09578696343402225,2.384712241653418
Trivial — Número de contratos,50,0.54,0.010731319554848967,5.343338632750397
Trivial — Número de contratos,100,0.56,0.022257551669316374,5.541240063593005
Trivial — Número de contratos,200,0.44,0.034976152623211444,4.35383147853736
Trivial — Número de contratos,500,0.324,0.0643879173290938,3.206003179650238
Trivial — Número de contratos,1000,0.246,0.09777424483306836,2.4341875993640696
