id_nodo,en_triangulo,comparte_contacto,representante_compartido,componente_cerrado,banderas_rojas
UT-1346,0.0,1.0,0.0,0.0,0.25
P-45564,0.0,1.0,0.0,0.0,0.25
UT-32306,1.0,1.0,0.0,0.0,0.5
P-11542,0.0,1.0,0.0,0.0,0.25
P-27326,0.0,1.0,0.0,0.0,0.25
UT-11258,0.0,0.0,0.0,0.0,0.0
N-19849,0.0,0.0,0.0,0.0,0.0
N-29169,0.0,0.0,0.0,0.0,0.0
UT-40689,0.0,1.0,0.0,0.0,0.25
UT-43317,0.0,0.0,0.0,0.0,0.0
P-47694,0.0,0.0,0.0,0.0,0.0
UT-4307,1.0,1.0,0.0,0.0,0.5
UT-4815,0.0,1.0,1.0,0.0,0.5
N-07475,0.0,0.0,0.0,0.0,0.0
N-16468,0.0,0.0,0.0,0.0,0.0
P-18638,0.0,0.0,0.0,0.0,0.0
UT-39712,0.0,0.0,0.0,0.0,0.0
P-41935,0.0,0.0,0.0,0.0,0.0
P-24084,1.0,0.0,0.0,0.0,0.25
N-13593,0.0,0.0,0.0,0.0,0.0
N-22525,0.0,0.0,0.0,0.0,0.0
UT-4984,0.0,0.0,1.0,0.0,0.25
P-13456,0.0,0.0,0.0,0.0,0.0
P-23501,0.0,0.0,0.0,0.0,0.0
N-04093,0.0,0.0,0.0,0.0,0.0
P-07475,0.0,1.0,0.0,0.0,0.25
N-06464,0.0,0.0,0.0,0.0,0.0
P-12380,0.0,0.0,0.0,0.0,0.0
N-35503,0.0,0.0,0.0,0.0,0.0
UT-36761,0.0,0.0,1.0,0.0,0.25
UT-1775,0.0,1.0,0.0,0.0,0.25
UT-27312,0.0,1.0,0.0,0.0,0.25
P-33570,0.0,0.0,0.0,0.0,0.0
P-06945,0.0,0.0,0.0,0.0,0.0
P-28245,0.0,0.0,0.0,0.0,0.0
N-36329,0.0,1.0,1.0,0.0,0.5
N-11890,0.0,0.0,0.0,0.0,0.0
P-25405,0.0,0.0,0.0,0.0,0.0
UT-43416,0.0,1.0,0.0,0.0,0.25
P-17260,0.0,0.0,0.0,0.0,0.0
N-29713,0.0,0.0,0.0,0.0,0.0
N-18434,0.0,0.0,0.0,0.0,0.0
P-46820,0.0,0.0,0.0,0.0,0.0
