seudonimo,puntuacion,valor_base,propio,un_salto,dos_saltos,etiqueta,entorno
P-06669,1.0,0.155369,0.779455,0.050626,0.01455,1,0.065176
P-31085,0.999999,0.155369,0.80275,-0.036555,0.078436,1,0.041881
N-05689,0.999921,0.155369,0.087253,0.101968,0.655331,1,0.757299
N-26141,0.999902,0.155369,0.10088,0.055433,0.688221,1,0.743654
P-49702,0.999473,0.155369,0.767478,0.026275,0.050351,1,0.076626
P-39325,0.999149,0.155369,0.573929,0.359498,-0.089647,1,0.269851
P-29287,0.998706,0.155369,0.59132,0.324576,-0.072558,1,0.252018
P-38912,0.99823,0.155369,0.621984,0.361698,-0.14082,1,0.220878
N-12656,0.998221,0.155369,0.438394,0.667117,-0.262658,1,0.404459
P-01131,0.998221,0.155369,0.446657,0.728364,-0.332168,1,0.396196
P-26282,0.998221,0.155369,0.474375,0.696367,-0.327889,1,0.368478
P-42768,0.998221,0.155369,0.417163,0.703139,-0.277449,1,0.42569
N-32946,0.998221,0.155369,0.490593,0.636145,-0.283885,1,0.35226
N-11957,0.998221,0.155369,0.403216,0.705222,-0.265585,1,0.439637
N-04780,0.998221,0.155369,0.438091,0.728931,-0.32417,1,0.404761
N-14089,0.998221,0.155369,0.510407,0.665212,-0.332767,1,0.332445
N-34565,0.998221,0.155369,0.478161,0.71516,-0.350469,1,0.364691
P-02175,0.998221,0.155369,0.472664,0.68866,-0.318471,1,0.370189
P-12728,0.998221,0.155369,0.591538,0.604007,-0.352692,1,0.251315
N-06815,0.998221,0.155369,0.454869,0.723551,-0.335567,1,0.387984
N-04616,0.998221,0.155369,0.461054,0.745057,-0.363258,1,0.381799
P-01556,0.997413,0.155369,0.784366,-0.053621,0.1113,1,0.057679
P-22416,0.997411,0.155369,0.830333,-0.072033,0.083742,1,0.011709
P-33498,0.997323,0.155369,0.800258,-0.00808,0.049777,1,0.041697
P-47194,0.997292,0.155369,0.61909,0.342016,-0.119183,1,0.222833
P-37642,0.997292,0.155369,0.663335,0.328738,-0.15015,1,0.178588
P-44129,0.997292,0.155369,0.599554,0.328509,-0.08614,1,0.242369
P-30560,0.997292,0.155369,0.571311,0.397295,-0.126683,1,0.270612
N-03007,0.996954,0.155369,0.269007,0.510224,0.062355,1,0.572579
P-40096,0.996142,0.155369,0.791604,-0.053194,0.102364,1,0.04917
N-07505,0.994805,0.155369,0.81515,-0.093123,0.11741,1,0.024287
P-26649,0.99455,0.155369,0.370282,0.707567,-0.238667,0,0.4689
P-45674,0.994086,0.155369,0.583957,0.392255,-0.137495,1,0.25476
P-44441,0.994086,0.155369,0.574282,0.402404,-0.137969,1,0.264435
P-03670,0.993405,0.155369,0.430262,0.588033,-0.180259,0,0.407774
N-01452,0.992411,0.155369,0.254194,0.138499,0.444349,1,0.582848
N-05636,0.992349,0.155369,0.306057,0.147157,0.383766,1,0.530923
N-32772,0.991826,0.155369,0.290579,0.160289,0.385589,1,0.545878
P-13396,0.991451,0.155369,0.803627,-0.091576,0.124031,1,0.032455
P-20725,0.990637,0.155369,0.733574,-0.01516,0.116854,1,0.101694
N-25409,0.990229,0.155369,0.254779,0.209609,0.370472,1,0.580081
N-19779,0.988433,0.155369,0.245607,0.136258,0.4512,1,0.587458
P-16338,0.988161,0.155369,0.816911,-0.088007,0.103889,1,0.015882
N-27139,0.987409,0.155369,0.284785,0.181626,0.36563,1,0.547256
P-46051,0.987294,0.155369,0.759219,-0.051837,0.124542,1,0.072705
P-45472,0.985857,0.155369,0.66549,0.044962,0.120036,1,0.164998
P-42205,0.985191,0.155369,0.745441,0.008065,0.076316,1,0.084381
N-17109,0.983493,0.155369,0.271245,0.164417,0.392462,1,0.556879
P-30258,0.982274,0.155369,0.712051,-0.021856,0.136711,1,0.114855
N-24708,0.98176,0.155369,0.305833,0.197018,0.32354,1,0.520558
N-13026,0.981131,0.155369,0.29034,0.152714,0.382708,1,0.535422
N-07244,0.981079,0.155369,0.292278,0.23942,0.294012,1,0.533432
P-17934,0.980855,0.155369,0.800572,0.024521,0.000394,1,0.024915
N-10964,0.980335,0.155369,0.296529,0.160454,0.367983,1,0.528437
N-11796,0.979949,0.155369,0.291548,0.140814,0.392218,1,0.533032
N-33312,0.979896,0.155369,0.426127,0.551813,-0.153413,1,0.3984
P-39389,0.979493,0.155369,0.76281,-0.048105,0.10942,1,0.061315
N-23903,0.979183,0.155369,0.244442,0.200926,0.378446,1,0.579372
P-20117,0.978204,0.155369,0.658833,0.008925,0.155077,1,0.164002
N-21105,0.97251,0.155369,0.308271,0.193145,0.315725,1,0.50887
N-06619,0.969735,0.155369,0.211003,0.204591,0.398772,1,0.603363
N-00679,0.968109,0.155369,0.295795,0.150918,0.366027,1,0.516945
N-26633,0.966208,0.155369,0.195831,0.096891,0.518117,1,0.615008
N-09363,0.964328,0.155369,0.163792,0.230535,0.414633,1,0.645168
P-40209,0.963159,0.155369,0.19157,0.437625,0.178595,1,0.61622
N-35651,0.962605,0.155369,0.336705,0.455583,0.014949,1,0.470532
P-25761,0.960384,0.155369,0.471703,0.505777,-0.172465,1,0.333312
P-23470,0.960384,0.155369,0.42627,0.496655,-0.11791,1,0.378745
P-24859,0.960384,0.155369,0.389174,0.380909,0.034932,1,0.415841
P-37512,0.960384,0.155369,0.47745,0.439437,-0.111872,1,0.327565
N-37878,0.956743,0.155369,0.213172,0.197084,0.391119,1,0.588203
P-47783,0.95545,0.155369,0.185973,0.223298,0.39081,1,0.614108
P-08604,0.952307,0.155369,0.628793,0.030638,0.137506,1,0.168144
N-01780,0.951005,0.155369,0.644052,0.000924,0.150661,1,0.151585
P-12747,0.949195,0.155369,0.204529,0.180288,0.409009,0,0.589297
P-15471,0.946214,0.155369,0.607891,0.203041,-0.020086,1,0.182955
N-06930,0.944756,0.155369,0.254235,0.204426,0.330726,0,0.535152
P-44406,0.941634,0.155369,0.766664,-0.041324,0.060925,1,0.019601
P-45484,0.933982,0.155369,0.439752,0.471207,-0.132345,0,0.338862
P-15924,0.932198,0.155369,0.812775,0.059272,-0.095218,1,-0.035946
N-27065,0.932099,0.155369,0.293322,0.151786,0.331623,1,0.483409
P-34492,0.930927,0.155369,0.612091,0.12529,0.038178,1,0.163468
P-21752,0.926179,0.155369,0.32683,0.178276,0.265704,1,0.44398
P-49149,0.924112,0.155369,0.162672,0.213013,0.393058,1,0.606071
P-27821,0.923103,0.155369,0.609202,-0.079736,0.238268,1,0.158532
P-12820,0.922558,0.155369,0.264325,0.110085,0.392779,0,0.502864
N-21614,0.922473,0.155369,0.329819,0.109656,0.327629,1,0.437285
P-46119,0.921782,0.155369,0.540185,0.044816,0.181413,1,0.226229
P-20714,0.916363,0.155369,0.69638,0.01827,0.046344,1,0.064614
P-23308,0.916164,0.155369,0.203707,0.454768,0.102321,1,0.557089
N-22227,0.914049,0.155369,0.143631,0.569564,0.045486,1,0.61505
N-19687,0.912585,0.155369,0.290045,0.425399,0.041773,1,0.467172
P-46283,0.909114,0.155369,0.157373,0.13425,0.462122,1,0.596372
P-42765,0.909102,0.155369,0.579266,0.080698,0.093769,1,0.174467
P-00776,0.909094,0.155369,0.314123,0.159907,0.279695,0,0.439602
P-22272,0.907982,0.155369,0.728469,0.000902,0.023242,1,0.024144
N-20776,0.901432,0.155369,0.143719,0.223127,0.379218,0,0.602345
N-12030,0.901364,0.155369,0.593791,0.097545,0.054659,1,0.152204
P-15463,0.899805,0.155369,0.220416,0.434004,0.090016,0,0.52402
N-11275,0.898589,0.155369,0.299633,0.019447,0.42414,1,0.443587
