seudonimo,bloque,variable,atribucion
P-06669,propio,strength,0.581828
P-06669,propio,pagerank,-0.272781
P-06669,propio,en_componente_gigante,0.0
P-06669,propio,log_valor_total,0.0
P-06669,propio,log_valor_medio,0.0
P-06669,propio,n_procesos,0.470408
P-06669,propio,n_cuentas_plataforma,0.0
P-06669,un salto,strength,0.017164
P-06669,un salto,pagerank,0.021254
P-06669,un salto,en_componente_gigante,0.014844
P-06669,un salto,log_valor_total,0.008212
P-06669,un salto,log_valor_medio,0.0
P-06669,un salto,n_procesos,0.028601
P-06669,un salto,n_cuentas_plataforma,-0.039449
P-06669,dos saltos,strength,0.0
P-06669,dos saltos,pagerank,0.0
P-06669,dos saltos,en_componente_gigante,0.0
P-06669,dos saltos,log_valor_total,0.0
P-06669,dos saltos,log_valor_medio,0.01455
P-06669,dos saltos,n_procesos,0.0
P-06669,dos saltos,n_cuentas_plataforma,0.0
P-31085,propio,strength,0.433069
P-31085,propio,pagerank,-0.073054
P-31085,propio,en_componente_gigante,0.0
P-31085,propio,log_valor_total,0.0
P-31085,propio,log_valor_medio,0.0
P-31085,propio,n_procesos,0.442735
P-31085,propio,n_cuentas_plataforma,0.0
P-31085,un salto,strength,-0.024038
P-31085,un salto,pagerank,0.013877
P-31085,un salto,en_componente_gigante,0.0
P-31085,un salto,log_valor_total,-0.026394
P-31085,un salto,log_valor_medio,0.0
P-31085,un salto,n_procesos,0.0
P-31085,un salto,n_cuentas_plataforma,0.0
P-31085,dos saltos,strength,0.013469
P-31085,dos saltos,pagerank,0.01907
P-31085,dos saltos,en_componente_gigante,0.0
P-31085,dos saltos,log_valor_total,0.0
P-31085,dos saltos,log_valor_medio,0.031829
P-31085,dos saltos,n_procesos,0.0
P-31085,dos saltos,n_cuentas_plataforma,0.014068
N-05689,propio,strength,0.027549
N-05689,propio,pagerank,0.015916
N-05689,propio,en_componente_gigante,0.0
N-05689,propio,log_valor_total,0.012612
N-05689,propio,log_valor_medio,0.012712
N-05689,propio,n_procesos,0.018465
N-05689,propio,n_cuentas_plataforma,0.0
N-05689,un salto,strength,0.0
N-05689,un salto,pagerank,0.075489
N-05689,un salto,en_componente_gigante,0.0
N-05689,un salto,log_valor_total,0.0
N-05689,un salto,log_valor_medio,0.0
N-05689,un salto,n_procesos,0.0
N-05689,un salto,n_cuentas_plataforma,0.026479
N-05689,dos saltos,strength,0.0
N-05689,dos saltos,pagerank,0.0
N-05689,dos saltos,en_componente_gigante,0.0
N-05689,dos saltos,log_valor_total,0.027684
N-05689,dos saltos,log_valor_medio,0.050206
N-05689,dos saltos,n_procesos,0.0
N-05689,dos saltos,n_cuentas_plataforma,0.577442
N-26141,propio,strength,0.029501
N-26141,propio,pagerank,0.026663
N-26141,propio,en_componente_gigante,0.0
N-26141,propio,log_valor_total,0.020543
N-26141,propio,log_valor_medio,0.0
N-26141,propio,n_procesos,0.024173
N-26141,propio,n_cuentas_plataforma,0.0
N-26141,un salto,strength,0.0
N-26141,un salto,pagerank,0.071457
N-26141,un salto,en_componente_gigante,0.0
N-26141,un salto,log_valor_total,-0.056581
N-26141,un salto,log_valor_medio,0.0
N-26141,un salto,n_procesos,0.0
N-26141,un salto,n_cuentas_plataforma,0.040557
N-26141,dos saltos,strength,0.0
N-26141,dos saltos,pagerank,0.0
N-26141,dos saltos,en_componente_gigante,0.0
N-26141,dos saltos,log_valor_total,0.03327
N-26141,dos saltos,log_valor_medio,0.065683
N-26141,dos saltos,n_procesos,0.0
N-26141,dos saltos,n_cuentas_plataforma,0.589268
P-49702,propio,strength,0.473449
P-49702,propio,pagerank,-0.281652
P-49702,propio,en_componente_gigante,0.0
P-49702,propio,log_valor_total,0.049593
P-49702,propio,log_valor_medio,0.0
P-49702,propio,n_procesos,0.581589
P-49702,propio,n_cuentas_plataforma,-0.055501
P-49702,un salto,strength,0.0
P-49702,un salto,pagerank,0.0
P-49702,un salto,en_componente_gigante,0.039091
P-49702,un salto,log_valor_total,-0.062371
P-49702,un salto,log_valor_medio,0.049556
P-49702,un salto,n_procesos,0.0
P-49702,un salto,n_cuentas_plataforma,0.0
P-49702,dos saltos,strength,0.019966
P-49702,dos saltos,pagerank,0.0
P-49702,dos saltos,en_componente_gigante,0.0
P-49702,dos saltos,log_valor_total,0.0
P-49702,dos saltos,log_valor_medio,0.030385
P-49702,dos saltos,n_procesos,0.0
P-49702,dos saltos,n_cuentas_plataforma,0.0
P-39325,propio,strength,0.249992
P-39325,propio,pagerank,-0.184773
P-39325,propio,en_componente_gigante,0.0
P-39325,propio,log_valor_total,0.043946
P-39325,propio,log_valor_medio,0.223351
P-39325,propio,n_procesos,0.241412
P-39325,propio,n_cuentas_plataforma,0.0
P-39325,un salto,strength,0.0
P-39325,un salto,pagerank,0.043127
P-39325,un salto,en_componente_gigante,0.0
P-39325,un salto,log_valor_total,0.316371
P-39325,un salto,log_valor_medio,0.0
P-39325,un salto,n_procesos,0.0
P-39325,un salto,n_cuentas_plataforma,0.0
P-39325,dos saltos,strength,0.0
P-39325,dos saltos,pagerank,0.0
P-39325,dos saltos,en_componente_gigante,0.011108
P-39325,dos saltos,log_valor_total,0.0
P-39325,dos saltos,log_valor_medio,-0.135671
P-39325,dos saltos,n_procesos,0.0
P-39325,dos saltos,n_cuentas_plataforma,0.034916
P-29287,propio,strength,0.168262
P-29287,propio,pagerank,-0.08638
P-29287,propio,en_componente_gigante,0.0
P-29287,propio,log_valor_total,0.029007
P-29287,propio,log_valor_medio,0.304755
P-29287,propio,n_procesos,0.175675
P-29287,propio,n_cuentas_plataforma,0.0
P-29287,un salto,strength,0.0
P-29287,un salto,pagerank,0.0
P-29287,un salto,en_componente_gigante,0.0
P-29287,un salto,log_valor_total,0.299109
P-29287,un salto,log_valor_medio,0.025467
P-29287,un salto,n_procesos,0.0
P-29287,un salto,n_cuentas_plataforma,0.0
P-29287,dos saltos,strength,0.0
P-29287,dos saltos,pagerank,0.030742
P-29287,dos saltos,en_componente_gigante,0.0
P-29287,dos saltos,log_valor_total,0.0
P-29287,dos saltos,log_valor_medio,-0.142209
P-29287,dos saltos,n_procesos,0.0
P-29287,dos saltos,n_cuentas_plataforma,0.038909
P-38912,propio,strength,0.109543
P-38912,propio,pagerank,0.0
P-38912,propio,en_componente_gigante,0.0
P-38912,propio,log_valor_total,0.0
P-38912,propio,log_valor_medio,0.398864
P-38912,propio,n_procesos,0.113576
P-38912,propio,n_cuentas_plataforma,0.0
P-38912,un salto,strength,0.0
P-38912,un salto,pagerank,0.027217
P-38912,un salto,en_componente_gigante,0.029633
P-38912,un salto,log_valor_total,0.261514
P-38912,un salto,log_valor_medio,0.018013
P-38912,un salto,n_procesos,0.025321
P-38912,un salto,n_cuentas_plataforma,0.0
P-38912,dos saltos,strength,0.0
P-38912,dos saltos,pagerank,0.0
P-38912,dos saltos,en_componente_gigante,0.0
P-38912,dos saltos,log_valor_total,0.0
P-38912,dos saltos,log_valor_medio,-0.18614
P-38912,dos saltos,n_procesos,0.0
P-38912,dos saltos,n_cuentas_plataforma,0.045319
N-12656,propio,strength,0.066458
N-12656,propio,pagerank,0.022372
N-12656,propio,en_componente_gigante,0.0
N-12656,propio,log_valor_total,0.0
N-12656,propio,log_valor_medio,0.307265
N-12656,propio,n_procesos,0.042299
N-12656,propio,n_cuentas_plataforma,0.0
N-12656,un salto,strength,0.0
N-12656,un salto,pagerank,0.0
N-12656,un salto,en_componente_gigante,0.0
N-12656,un salto,log_valor_total,0.400679
N-12656,un salto,log_valor_medio,0.266437
N-12656,un salto,n_procesos,0.0
N-12656,un salto,n_cuentas_plataforma,0.0
N-12656,dos saltos,strength,0.0
N-12656,dos saltos,pagerank,0.065078
N-12656,dos saltos,en_componente_gigante,0.0
N-12656,dos saltos,log_valor_total,-0.15341
N-12656,dos saltos,log_valor_medio,-0.206663
N-12656,dos saltos,n_procesos,0.032337
N-12656,dos saltos,n_cuentas_plataforma,0.0
P-01131,propio,strength,0.066618
P-01131,propio,pagerank,0.0
P-01131,propio,en_componente_gigante,0.0
P-01131,propio,log_valor_total,0.024538
P-01131,propio,log_valor_medio,0.325156
P-01131,propio,n_procesos,0.030345
P-01131,propio,n_cuentas_plataforma,0.0
P-01131,un salto,strength,0.0
P-01131,un salto,pagerank,0.072913
P-01131,un salto,en_componente_gigante,0.0
P-01131,un salto,log_valor_total,0.395891
P-01131,un salto,log_valor_medio,0.25956
P-01131,un salto,n_procesos,0.0
P-01131,un salto,n_cuentas_plataforma,0.0
P-01131,dos saltos,strength,0.0
P-01131,dos saltos,pagerank,0.0
P-01131,dos saltos,en_componente_gigante,0.030642
P-01131,dos saltos,log_valor_total,-0.119078
P-01131,dos saltos,log_valor_medio,-0.243732
P-01131,dos saltos,n_procesos,0.0
P-01131,dos saltos,n_cuentas_plataforma,0.0
P-26282,propio,strength,0.065164
P-26282,propio,pagerank,0.0
P-26282,propio,en_componente_gigante,0.01867
P-26282,propio,log_valor_total,0.032549
P-26282,propio,log_valor_medio,0.276945
P-26282,propio,n_procesos,0.081048
P-26282,propio,n_cuentas_plataforma,0.0
P-26282,un salto,strength,0.0
P-26282,un salto,pagerank,0.035148
