seudonimo,rango,bloque,vecino_seudonimo,atribucion
P-06669,1,un salto,P-18064,0.034155
P-06669,2,un salto,P-45443,0.011985
P-06669,3,un salto,P-34420,0.007069
P-06669,4,un salto,P-32234,0.00524
P-06669,5,un salto,P-41549,0.004668
P-31085,1,un salto,UT-43317,-0.003271
P-31085,2,un salto,P-08924,-0.000893
P-31085,3,un salto,P-43719,-0.000737
P-31085,4,un salto,P-31437,-0.000702
P-31085,5,un salto,P-27667,-0.00067
N-05689,1,un salto,UT-28806,0.025766
N-05689,2,dos saltos,N-05689,0.023897
N-05689,3,dos saltos,P-28610,0.022877
N-05689,4,dos saltos,N-01029,0.022857
N-05689,5,dos saltos,N-09004,0.02285
N-26141,1,un salto,UT-28806,0.037436
N-26141,2,dos saltos,N-26141,0.024753
N-26141,3,dos saltos,P-28610,0.023711
N-26141,4,dos saltos,N-01029,0.023686
N-26141,5,dos saltos,N-09004,0.023676
P-49702,1,un salto,P-04675,-0.000273
P-49702,2,dos saltos,P-49702,0.000182
P-49702,3,dos saltos,P-23338,0.000176
P-49702,4,dos saltos,P-42444,0.000175
P-49702,5,un salto,P-15103,0.000173
P-39325,1,un salto,P-08924,0.006389
P-39325,2,un salto,P-37863,0.004833
P-39325,3,un salto,P-03554,0.004681
P-39325,4,un salto,P-00280,0.004631
P-39325,5,un salto,P-24503,0.00453
P-29287,1,un salto,P-37863,0.004401
P-29287,2,un salto,P-24503,0.004401
P-29287,3,un salto,P-23409,0.004401
P-29287,4,un salto,P-03387,0.004401
P-29287,5,un salto,P-00280,0.004401
P-38912,1,un salto,P-08924,0.008583
P-38912,2,un salto,P-37863,0.004491
P-38912,3,un salto,P-03554,0.004312
P-38912,4,un salto,P-39325,0.004282
P-38912,5,un salto,P-00280,0.004252
N-12656,1,un salto,N-03978,0.003817
N-12656,2,un salto,N-17060,0.003817
N-12656,3,un salto,N-12954,0.003817
N-12656,4,un salto,P-26852,0.003817
N-12656,5,un salto,N-20733,0.003817
P-01131,1,un salto,P-08924,0.008857
P-01131,2,un salto,P-04675,0.008296
P-01131,3,un salto,P-23972,0.004968
P-01131,4,un salto,N-12954,0.00378
P-01131,5,un salto,P-28095,0.00378
P-26282,1,un salto,N-12954,0.003795
P-26282,2,un salto,P-28095,0.003795
P-26282,3,un salto,N-14859,0.003795
P-26282,4,un salto,N-03978,0.003778
P-26282,5,un salto,N-04780,0.003778
P-42768,1,un salto,P-08924,0.006855
P-42768,2,un salto,P-04675,0.006554
P-42768,3,un salto,P-23972,0.003747
P-42768,4,un salto,N-12954,0.003712
P-42768,5,un salto,P-28095,0.003712
N-32946,1,un salto,UT-8942,0.025694
N-32946,2,un salto,UT-36509,0.007225
N-32946,3,un salto,UT-1530,0.006909
N-32946,4,un salto,P-09628,0.004698
N-32946,5,un salto,P-04675,0.004629
N-11957,1,un salto,N-12954,0.003838
N-11957,2,un salto,P-28095,0.003838
N-11957,3,un salto,N-14859,0.003838
N-11957,4,un salto,N-03978,0.003821
N-11957,5,un salto,N-04780,0.003821
N-04780,1,un salto,P-08924,0.005724
N-04780,2,un salto,P-04675,0.005599
N-04780,3,un salto,N-12954,0.003857
N-04780,4,un salto,P-28095,0.003857
N-04780,5,un salto,N-14859,0.003857
N-14089,1,un salto,P-08924,0.007802
N-14089,2,un salto,P-04675,0.00733
N-14089,3,un salto,P-23972,0.004356
N-14089,4,un salto,N-12954,0.003466
N-14089,5,un salto,P-28095,0.003466
N-34565,1,un salto,P-08924,0.010113
N-34565,2,un salto,P-04675,0.009383
N-34565,3,un salto,P-23972,0.005772
N-34565,4,un salto,P-27667,0.003841
N-34565,5,un salto,N-12954,0.00365
P-02175,1,un salto,UT-8942,-0.015694
P-02175,2,un salto,P-08924,0.011356
P-02175,3,un salto,P-04675,0.008665
P-02175,4,un salto,P-23972,0.00757
P-02175,5,un salto,UT-36509,-0.004893
P-12728,1,un salto,N-03978,0.003467
P-12728,2,un salto,N-17060,0.003467
P-12728,3,un salto,N-12954,0.003467
P-12728,4,un salto,P-26852,0.003467
