seudonimo,puntuacion,valor_base,propio,un_salto,dos_saltos,etiqueta,entorno
N-01258,0.996073,0.100989,0.314919,0.295316,0.284849,1,0.580165
N-29901,0.996073,0.100989,0.314134,0.295866,0.285084,1,0.58095
N-11858,0.995375,0.100989,0.315218,0.291592,0.287577,1,0.579169
N-21529,0.995375,0.100989,0.315657,0.29092,0.287809,1,0.578729
N-09712,0.995375,0.100989,0.315218,0.291592,0.287577,1,0.579169
N-33224,0.995375,0.100989,0.316518,0.292026,0.285843,1,0.577869
P-39325,0.995369,0.100989,0.494119,0.189548,0.210713,1,0.400261
P-29287,0.995119,0.100989,0.489476,0.193358,0.211297,1,0.404655
P-44129,0.995119,0.100989,0.485647,0.195362,0.213121,1,0.408483
P-30560,0.995119,0.100989,0.485647,0.195362,0.213121,1,0.408483
P-37642,0.995119,0.100989,0.485647,0.195362,0.213121,1,0.408483
P-38912,0.995119,0.100989,0.489187,0.192992,0.211951,1,0.404943
P-47194,0.995119,0.100989,0.485647,0.195362,0.213121,1,0.408483
N-36833,0.992548,0.100989,0.531083,0.176121,0.184354,1,0.360475
N-22468,0.991753,0.100989,0.248632,0.353775,0.288357,1,0.642132
N-16576,0.990375,0.100989,0.314917,0.289749,0.28472,1,0.574469
N-25691,0.990375,0.100989,0.31536,0.289575,0.284451,1,0.574026
N-19756,0.988412,0.100989,0.331756,0.224441,0.331226,1,0.555667
P-07661,0.988013,0.100989,0.308141,0.224349,0.354534,1,0.578883
P-05867,0.988013,0.100989,0.310946,0.225028,0.351049,1,0.576077
N-29091,0.987912,0.100989,0.331865,0.225127,0.329931,1,0.555058
N-31088,0.987912,0.100989,0.331371,0.225792,0.32976,1,0.555552
N-17686,0.987912,0.100989,0.331289,0.225692,0.329942,1,0.555634
N-29450,0.987912,0.100989,0.331935,0.225959,0.329029,1,0.554988
N-08983,0.987912,0.100989,0.334394,0.224995,0.327533,1,0.552528
N-06078,0.987457,0.100989,0.340553,0.220941,0.324974,1,0.545915
N-11637,0.987457,0.100989,0.339865,0.221302,0.325301,0,0.546603
N-32946,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
P-26282,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
P-02175,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
N-14089,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
N-34565,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
N-04780,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
N-12656,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
P-01131,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
N-06815,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
P-12728,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
N-04616,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
P-42768,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
N-11957,0.986454,0.100989,0.501115,0.18802,0.19633,1,0.38435
P-01495,0.986346,0.100989,0.310553,0.224425,0.350378,1,0.574803
N-28668,0.986245,0.100989,0.335283,0.223406,0.326567,1,0.549973
P-45674,0.985047,0.100989,0.503406,0.181808,0.198843,1,0.380651
P-44441,0.985047,0.100989,0.503406,0.181808,0.198843,1,0.380651
N-34711,0.983428,0.100989,0.322836,0.228953,0.330651,1,0.559604
N-04763,0.983221,0.100989,0.325539,0.227152,0.329541,1,0.556693
N-36078,0.983221,0.100989,0.326285,0.226751,0.329196,1,0.555947
N-19049,0.983221,0.100989,0.326285,0.226751,0.329196,0,0.555947
P-38672,0.981228,0.100989,0.284319,0.232156,0.363764,1,0.59592
N-29370,0.981207,0.100989,0.336804,0.223844,0.319571,1,0.543415
N-27064,0.975875,0.100989,0.316201,0.281433,0.277252,1,0.558685
N-04729,0.975875,0.100989,0.316201,0.281433,0.277252,1,0.558685
N-36653,0.971753,0.100989,0.242893,0.349304,0.278566,1,0.62787
P-23470,0.970163,0.100989,0.477215,0.184285,0.207674,1,0.391959
P-25761,0.970163,0.100989,0.477215,0.184285,0.207674,1,0.391959
P-37512,0.970163,0.100989,0.477215,0.184285,0.207674,1,0.391959
P-24859,0.970163,0.100989,0.477215,0.184285,0.207674,1,0.391959
N-37878,0.969356,0.100989,0.455427,0.213866,0.199075,1,0.412941
N-15788,0.965652,0.100989,0.332168,0.219502,0.312993,1,0.532495
P-43430,0.964585,0.100989,0.267828,0.227337,0.36843,1,0.595767
N-15732,0.961753,0.100989,0.238287,0.34839,0.274087,1,0.622477
N-17011,0.960652,0.100989,0.330654,0.216051,0.312957,1,0.529008
N-20291,0.953701,0.100989,0.302826,0.276718,0.273168,1,0.549886
