seudonimo,bloque,variable,atribucion
N-01258,propio,strength,0.100001
N-01258,propio,pagerank,0.042426
N-01258,propio,en_componente_gigante,3.8e-05
N-01258,propio,log_valor_total,0.029353
N-01258,propio,log_valor_medio,0.040076
N-01258,propio,n_procesos,0.101967
N-01258,propio,n_cuentas_plataforma,0.001057
N-01258,un salto,strength,0.045874
N-01258,un salto,pagerank,0.031883
N-01258,un salto,en_componente_gigante,0.000336
N-01258,un salto,log_valor_total,0.077043
N-01258,un salto,log_valor_medio,0.063936
N-01258,un salto,n_procesos,0.046107
N-01258,un salto,n_cuentas_plataforma,0.030136
N-01258,dos saltos,strength,0.030295
N-01258,dos saltos,pagerank,0.046137
N-01258,dos saltos,en_componente_gigante,0.000311
N-01258,dos saltos,log_valor_total,0.084768
N-01258,dos saltos,log_valor_medio,0.074488
N-01258,dos saltos,n_procesos,0.02292
N-01258,dos saltos,n_cuentas_plataforma,0.025929
N-29901,propio,strength,0.100055
N-29901,propio,pagerank,0.042485
N-29901,propio,en_componente_gigante,3.8e-05
N-29901,propio,log_valor_total,0.029303
N-29901,propio,log_valor_medio,0.039042
N-29901,propio,n_procesos,0.102154
N-29901,propio,n_cuentas_plataforma,0.001057
N-29901,un salto,strength,0.045984
N-29901,un salto,pagerank,0.031739
N-29901,un salto,en_componente_gigante,0.000331
N-29901,un salto,log_valor_total,0.077131
N-29901,un salto,log_valor_medio,0.06395
N-29901,un salto,n_procesos,0.046546
N-29901,un salto,n_cuentas_plataforma,0.030185
N-29901,dos saltos,strength,0.030266
N-29901,dos saltos,pagerank,0.046151
N-29901,dos saltos,en_componente_gigante,0.000311
N-29901,dos saltos,log_valor_total,0.084795
N-29901,dos saltos,log_valor_medio,0.07456
N-29901,dos saltos,n_procesos,0.022879
N-29901,dos saltos,n_cuentas_plataforma,0.026122
N-11858,propio,strength,0.099177
N-11858,propio,pagerank,0.043286
N-11858,propio,en_componente_gigante,3.6e-05
N-11858,propio,log_valor_total,0.029052
N-11858,propio,log_valor_medio,0.040455
N-11858,propio,n_procesos,0.102172
N-11858,propio,n_cuentas_plataforma,0.00104
N-11858,un salto,strength,0.045649
N-11858,un salto,pagerank,0.03163
N-11858,un salto,en_componente_gigante,0.000336
N-11858,un salto,log_valor_total,0.076214
N-11858,un salto,log_valor_medio,0.061599
N-11858,un salto,n_procesos,0.04646
N-11858,un salto,n_cuentas_plataforma,0.029703
N-11858,dos saltos,strength,0.030347
N-11858,dos saltos,pagerank,0.046497
N-11858,dos saltos,en_componente_gigante,0.000277
N-11858,dos saltos,log_valor_total,0.087612
N-11858,dos saltos,log_valor_medio,0.073777
N-11858,dos saltos,n_procesos,0.022726
N-11858,dos saltos,n_cuentas_plataforma,0.026341
N-21529,propio,strength,0.099169
N-21529,propio,pagerank,0.043602
N-21529,propio,en_componente_gigante,3.5e-05
N-21529,propio,log_valor_total,0.029182
N-21529,propio,log_valor_medio,0.040469
N-21529,propio,n_procesos,0.102171
N-21529,propio,n_cuentas_plataforma,0.001029
N-21529,un salto,strength,0.045333
N-21529,un salto,pagerank,0.031655
