seudonimo,rango,bloque,vecino_seudonimo,atribucion
N-01258,1,un salto,P-50957,0.122886
N-01258,2,un salto,N-00051,-0.05511
N-01258,3,un salto,P-27904,-0.035731
N-01258,4,un salto,P-26202,-0.033606
N-01258,5,un salto,P-39623,0.031418
N-29901,1,un salto,P-50957,0.122747
N-29901,2,un salto,N-00051,-0.055084
N-29901,3,un salto,P-27904,-0.035662
N-29901,4,un salto,P-26202,-0.033556
N-29901,5,un salto,P-39623,0.031655
N-11858,1,un salto,P-50957,0.121882
N-11858,2,un salto,N-00051,-0.054416
N-11858,3,un salto,P-27904,-0.035474
N-11858,4,un salto,P-26202,-0.033367
N-11858,5,un salto,P-39623,0.031404
N-21529,1,un salto,P-50957,0.12271
N-21529,2,un salto,N-00051,-0.053557
N-21529,3,un salto,P-27904,-0.035802
N-21529,4,un salto,P-26202,-0.033655
N-21529,5,un salto,P-39623,0.031086
N-09712,1,un salto,P-50957,0.121882
N-09712,2,un salto,N-00051,-0.054416
N-09712,3,un salto,P-27904,-0.035474
N-09712,4,un salto,P-26202,-0.033367
N-09712,5,un salto,P-39623,0.031404
N-33224,1,un salto,P-50957,0.121469
N-33224,2,un salto,N-00051,-0.053844
N-33224,3,un salto,P-27904,-0.0353
N-33224,4,un salto,P-26202,-0.033226
N-33224,5,un salto,P-39623,0.031491
P-39325,1,un salto,P-08924,0.01714
P-39325,2,un salto,N-09877,0.014295
P-39325,3,un salto,P-09545,0.00511
P-39325,4,un salto,P-41020,0.004777
P-39325,5,un salto,P-26023,0.004371
P-29287,1,un salto,P-08924,0.01669
P-29287,2,un salto,N-09877,0.014366
P-29287,3,un salto,P-09545,0.00495
P-29287,4,un salto,P-41020,0.004644
P-29287,5,un salto,P-26023,0.004227
P-44129,1,un salto,P-08924,0.016822
P-44129,2,un salto,N-09877,0.015094
P-44129,3,un salto,P-09545,0.004986
P-44129,4,un salto,P-41020,0.004678
P-44129,5,un salto,P-26023,0.004273
P-30560,1,un salto,P-08924,0.016822
P-30560,2,un salto,N-09877,0.015094
P-30560,3,un salto,P-09545,0.004986
P-30560,4,un salto,P-41020,0.004678
P-30560,5,un salto,P-26023,0.004273
P-37642,1,un salto,P-08924,0.016822
P-37642,2,un salto,N-09877,0.015094
