epoca,perdida,auc_validacion
50,0.604066,0.733634
100,0.571458,0.767073
150,0.550723,0.779506
200,0.52342,0.789768
250,0.498917,0.805903
300,0.474296,0.826404
350,0.457301,0.842599
400,0.446662,0.848634
450,0.434022,0.857217
500,0.425575,0.865575
550,0.41908,0.871655
600,0.411469,0.875376
650,0.405563,0.878829
700,0.409369,0.881231
750,0.39849,0.884591
800,0.394244,0.88956
850,0.390127,0.890019
900,0.380863,0.892509
950,0.379604,0.894437
1000,0.376078,0.895714
1050,0.371565,0.897391
1100,0.372389,0.898955
1150,0.382927,0.896372
1200,0.369345,0.900042
1250,0.362631,0.900781
1300,0.362626,0.901561
1350,0.361892,0.900565
1400,0.357312,0.902373
1450,0.355459,0.904605
1500,0.353903,0.905501
1550,0.379026,0.903758
1600,0.350799,0.905556
1650,0.349019,0.907038
1700,0.348907,0.907873
1750,0.377257,0.907072
1800,0.363542,0.899859
1850,0.345473,0.909207
1900,0.342714,0.910352
1950,0.34117,0.910611
2000,0.34005,0.910985
2050,0.345308,0.910694
2100,0.340362,0.911075
2150,0.33915,0.911418
2200,0.352871,0.909013
2250,0.334975,0.912576
2300,0.334995,0.912544
2350,0.332916,0.912794
2400,0.357294,0.903221
2450,0.333772,0.91315
2500,0.33062,0.913645
2550,0.33089,0.91353
2600,0.32981,0.913706
2650,0.347555,0.912283
2700,0.332163,0.913942
2750,0.32737,0.91428
2800,0.330979,0.91204
2850,0.340146,0.907598
2900,0.32617,0.914365
2950,0.324209,0.914757
3000,0.328435,0.914683
3050,0.329396,0.914169
3100,0.323355,0.914359
3150,0.374099,0.907068
3200,0.323668,0.914792
3250,0.321229,0.915211
3300,0.322543,0.914279
3350,0.321439,0.914796
3400,0.324105,0.914117
3450,0.321321,0.91533
3500,0.324538,0.915096
3550,0.322001,0.915765
3600,0.322206,0.915434
3650,0.326158,0.912104
3700,0.320591,0.915335
3750,0.322518,0.915716
3800,0.320069,0.915803
3850,0.32608,0.916055
3900,0.317558,0.915838
3950,0.315891,0.916453
4000,0.323569,0.916512
4050,0.330061,0.916548
4100,0.34789,0.908751
4150,0.325177,0.915376
4200,0.321686,0.913603
4250,0.315034,0.916648
4300,0.313761,0.917016
4350,0.313291,0.916949
4400,0.312936,0.917546
4450,0.313004,0.917923
4500,0.312357,0.917649
4550,0.315093,0.917449
4600,0.312636,0.91779
4650,0.313513,0.917293
4700,0.314963,0.91793
4750,0.311225,0.917847
4800,0.313517,0.916575
4850,0.333185,0.914758
4900,0.339595,0.912324
4950,0.311181,0.918834
5000,0.320774,0.9171
5050,0.310183,0.919189
5100,0.308468,0.919252
5150,0.310758,0.918486
5200,0.306044,0.919858
5250,0.306134,0.920206
5300,0.307751,0.91997
5350,0.322035,0.911617
5400,0.366462,0.918179
5450,0.311609,0.919967
5500,0.304304,0.92101
5550,0.303219,0.92142
5600,0.303606,0.920858
5650,0.305568,0.921356
5700,0.306357,0.918613
5750,0.306073,0.921666
5800,0.307541,0.917819
5850,0.302194,0.919458
5900,0.310565,0.920989
5950,0.308619,0.91969
6000,0.300111,0.921293
6050,0.299273,0.921829
6100,0.302937,0.92253
6150,0.301961,0.919901
6200,0.300887,0.92223
6250,0.302452,0.91995
6300,0.308047,0.916033
6350,0.315273,0.919714
6400,0.30349,0.921922
6450,0.302442,0.922516
6500,0.308228,0.92241
6550,0.303822,0.919688
6600,0.302448,0.922892
6650,0.298183,0.920085
6700,0.30095,0.922897
6750,0.300934,0.921133
6800,0.300372,0.922097
6850,0.302947,0.922009
6900,0.29759,0.921299
6950,0.300044,0.92276
7000,0.296814,0.920987
7050,0.300358,0.922139
7100,0.300779,0.91915
7150,0.300044,0.922934
7200,0.301784,0.917615
7250,0.30188,0.922533
7300,0.298278,0.922212
7350,0.295285,0.920745
7400,0.294259,0.922866
7450,0.297906,0.9187
7500,0.301053,0.922835
7550,0.296891,0.922337
7600,0.297997,0.921183
7650,0.298901,0.922506
7700,0.296441,0.920554
7750,0.29953,0.921181
