epoca,perdida,auc_validacion
50,0.613866,0.699778
100,0.567643,0.768818
150,0.509584,0.813392
200,0.479928,0.827782
250,0.463649,0.83916
300,0.473885,0.844184
350,0.449658,0.848152
400,0.457766,0.854536
450,0.432559,0.866589
500,0.425967,0.86651
550,0.432089,0.868552
600,0.41566,0.871125
650,0.408057,0.877472
700,0.403502,0.881455
750,0.39483,0.884624
800,0.394926,0.882406
850,0.389308,0.888684
900,0.400234,0.887465
950,0.378089,0.894261
1000,0.383901,0.895451
1050,0.45195,0.87961
1100,0.409873,0.877894
1150,0.371827,0.895674
1200,0.366557,0.899715
