epoca,perdida,auc_validacion
50,0.368412,0.881355
100,0.31255,0.901188
150,0.295894,0.905032
200,0.285182,0.909364
250,0.275185,0.914251
300,0.270566,0.924229
350,0.268007,0.921087
400,0.258556,0.9249
450,0.252863,0.926476
500,0.250914,0.923972
550,0.249101,0.925576
600,0.244851,0.927631
650,0.260337,0.923021
700,0.238569,0.929121
750,0.239788,0.930682
800,0.230352,0.929625
850,0.23212,0.931764
900,0.238033,0.931892
950,0.229865,0.931673
1000,0.239897,0.927554
1050,0.22717,0.932876
1100,0.226184,0.933256
1150,0.231831,0.931941
1200,0.222765,0.934129
1250,0.222957,0.932602
1300,0.225304,0.932511
1350,0.238848,0.929938
1400,0.22199,0.931468
1450,0.220943,0.931019
1500,0.225638,0.928664
1550,0.217112,0.929762
1600,0.217989,0.929282
1650,0.214145,0.92848
1700,0.223351,0.929862
1750,0.216523,0.928805
1800,0.216755,0.928274
