epoca,perdida,auc_validacion
50,0.40037,0.872801
100,0.341938,0.893436
150,0.316203,0.895218
200,0.308095,0.899545
250,0.295106,0.904402
300,0.329228,0.899171
350,0.292078,0.90247
400,0.289212,0.901492
450,0.286587,0.907963
500,0.27984,0.908891
550,0.279564,0.912238
600,0.280178,0.910919
650,0.275898,0.914971
700,0.27216,0.913651
750,0.272857,0.915013
800,0.27183,0.912782
850,0.278612,0.916785
900,0.26783,0.914626
950,0.268877,0.912802
1000,0.267995,0.91613
1050,0.282038,0.915221
1100,0.2648,0.917367
1150,0.264327,0.917118
1200,0.266015,0.916923
