id_nodo,tipo_nodo,riesgo_alto
P-07345,persona_juridica,0
P-36130,persona_juridica,0
N-15721,persona_natural,0
P-42469,persona_juridica,0
N-01640,persona_natural,0
P-48693,persona_juridica,0
P-36910,persona_juridica,0
N-18291,persona_natural,0
P-24403,persona_juridica,0
P-11960,persona_juridica,0
N-09596,persona_natural,0
N-11435,persona_natural,0
N-15801,persona_natural,0
UT-21029,union_temporal,0
N-07338,persona_natural,0
P-32770,persona_juridica,0
N-26267,persona_natural,0
P-33058,persona_juridica,0
N-02391,persona_natural,0
P-13909,persona_juridica,0
P-01470,persona_juridica,0
N-02914,persona_natural,0
N-04460,persona_natural,0
P-42209,persona_juridica,0
N-31948,persona_natural,0
P-13745,persona_juridica,0
P-23785,persona_juridica,1
P-24851,persona_juridica,0
P-28699,persona_juridica,0
P-27821,persona_juridica,1
P-02576,persona_juridica,0
P-42793,persona_juridica,0
N-02598,persona_natural,0
UT-29748,union_temporal,0
P-50149,persona_juridica,0
N-30545,persona_natural,0
P-25779,persona_juridica,0
N-18461,persona_natural,0
P-11488,persona_juridica,0
N-09398,persona_natural,0
P-00169,persona_juridica,0
P-01032,persona_juridica,0
UT-15174,union_temporal,0
N-18265,persona_natural,0
P-05097,persona_juridica,0
P-11373,persona_juridica,0
P-45045,persona_juridica,0
P-12465,persona_juridica,0
N-14824,persona_natural,0
N-06555,persona_natural,0
P-37217,persona_juridica,0
P-05596,persona_juridica,0
N-14931,persona_natural,0
P-42225,persona_juridica,0
P-18608,persona_juridica,0
N-05124,persona_natural,1
N-09183,persona_natural,1
N-22827,persona_natural,0
P-18515,persona_juridica,0
N-21018,persona_natural,0
P-24637,persona_juridica,0
N-12997,persona_natural,0
N-07056,persona_natural,0
P-51309,persona_juridica,0
N-06702,persona_natural,0
P-09601,persona_juridica,0
P-03951,persona_juridica,0
P-51267,persona_juridica,0
P-01593,persona_juridica,0
N-16737,persona_natural,0
P-18400,persona_juridica,0
N-23670,persona_natural,0
N-27059,persona_natural,0
P-04609,persona_juridica,0
P-43211,persona_juridica,0
N-17324,persona_natural,0
UT-18092,union_temporal,0
P-05726,persona_juridica,0
P-30406,persona_juridica,0
P-41635,persona_juridica,0
P-40512,persona_juridica,0
P-31519,persona_juridica,0
N-37311,persona_natural,0
N-01676,persona_natural,0
N-26178,persona_natural,0
N-04510,persona_natural,0
P-27041,persona_juridica,0
P-51423,persona_juridica,0
P-48629,persona_juridica,0
N-15993,persona_natural,0
N-11468,persona_natural,0
P-37470,persona_juridica,0
P-20349,persona_juridica,0
N-27274,persona_natural,0
N-35732,persona_natural,0
P-12760,persona_juridica,0
P-34256,persona_juridica,0
N-08346,persona_natural,0
P-04097,persona_juridica,0
N-30494,persona_natural,0
P-00639,persona_juridica,0
P-10786,persona_juridica,0
N-35776,persona_natural,1
P-25956,persona_juridica,0
P-47639,persona_juridica,0
N-16831,persona_natural,1
N-26274,persona_natural,0
N-35047,persona_natural,0
UT-11912,union_temporal,0
P-21883,persona_juridica,0
P-29507,persona_juridica,0
P-08958,persona_juridica,1
P-16014,persona_juridica,0
P-37618,persona_juridica,0
N-04245,persona_natural,0
P-27714,persona_juridica,0
N-16629,persona_natural,0
N-13389,persona_natural,0
P-12673,persona_juridica,0
P-42264,persona_juridica,0
P-25875,persona_juridica,0
N-23472,persona_natural,0
N-03501,persona_natural,0
P-32532,persona_juridica,0
N-33238,persona_natural,0
P-25331,persona_juridica,0
N-23025,persona_natural,0
N-24750,persona_natural,0
P-08273,persona_juridica,0
N-10753,persona_natural,0
N-36853,persona_natural,0
N-17016,persona_natural,0
N-19664,persona_natural,0
P-05346,persona_juridica,0
P-41323,persona_juridica,0
P-47060,persona_juridica,0
N-36859,persona_natural,1
N-05776,persona_natural,0
P-11357,persona_juridica,1
N-25433,persona_natural,0
UT-42811,union_temporal,0
N-32308,persona_natural,0
N-25685,persona_natural,0
P-36211,persona_juridica,0
P-02270,persona_juridica,0
P-27763,persona_juridica,0
P-28551,persona_juridica,0
N-30247,persona_natural,0
N-05450,persona_natural,0
P-02817,persona_juridica,1
N-33774,persona_natural,0
P-49699,persona_juridica,1
UT-34254,union_temporal,0
P-46553,persona_juridica,0
N-02467,persona_natural,0
N-14628,persona_natural,0
P-10873,persona_juridica,0
P-00313,persona_juridica,0
N-28348,persona_natural,0
P-11837,persona_juridica,0
P-09375,persona_juridica,0
P-33239,persona_juridica,1
P-46968,persona_juridica,0
P-42624,persona_juridica,0
N-03985,persona_natural,0
P-11607,persona_juridica,0
P-17446,persona_juridica,0
N-31587,persona_natural,0
P-32848,persona_juridica,0
N-18424,persona_natural,0
P-33042,persona_juridica,0
N-31801,persona_natural,0
N-15987,persona_natural,1
N-14319,persona_natural,0
P-01040,persona_juridica,0
P-42423,persona_juridica,0
UT-15348,union_temporal,0
P-22343,persona_juridica,0
N-15851,persona_natural,0
P-40016,persona_juridica,0
P-49862,persona_juridica,1
N-05627,persona_natural,0
P-21754,persona_juridica,0
N-23836,persona_natural,0
P-44868,persona_juridica,0
P-43066,persona_juridica,0
P-18685,persona_juridica,1
UT-19408,union_temporal,0
P-28693,persona_juridica,0
P-42186,persona_juridica,0
P-00642,persona_juridica,0
N-28838,persona_natural,0
N-17584,persona_natural,0
N-37792,persona_natural,0
P-48079,persona_juridica,0
P-10552,persona_juridica,0
N-29444,persona_natural,0
UT-22037,union_temporal,0
P-48528,persona_juridica,0
N-33446,persona_natural,1
P-21133,persona_juridica,0
