Modelo,Brier,tramo,n,probabilidad media,frecuencia observada
SNA — Regresión Logística,0.1991,,,,
ML — Random Forest,0.0668,,,,
ML — Gradient Boosting,0.0674,,,,
SGC — propagación + MLP,0.0587,,,,
Clásico — Banderas rojas,0.1162,,,,
Clásico — PageRank puro,0.1011,,,,
,,"[0.0, 0.1)",17617,0.0046,0.0061
,,"[0.1, 0.2)",1810,0.1508,0.142
,,"[0.2, 0.3)",1574,0.249,0.2255
,,"[0.3, 0.4)",1434,0.3494,0.3243
,,"[0.4, 0.5)",1124,0.4462,0.4253
,,"[0.5, 0.6)",620,0.5443,0.5065
,,"[0.6, 0.7)",340,0.6465,0.6618
,,"[0.7, 0.8)",210,0.7433,0.7905
,,"[0.8, 0.9)",69,0.8365,0.8551
,,"[0.9, 1.0)",98,0.9707,0.9184
